"date","site_name","lon","lat","ST_obs","W_obs","W_new","W_sca","W_dca","IGBP","VOD","OM_","d_W_new","d_W_sca","d_W_dca","TB_v","TB_h","OM_new","OP_new","etr_inv","clay_inv","silt_inv","sand_inv"
2018-05-14,"Aniak",-159.58,61.58,6.70780206423257,0.46,0,0.208516754840146,0.330091622598136,7,0.214144942059116,0.212782420349121,-0.46,-0.251483245159854,-0.129908377401864,242.104183947282,234.009171153785,NA,NA,11.2940091534669,0.21,0.39,0.4
2018-05-15,"Aniak",-159.58,61.58,6.42885885847522,0.46,0,0.2205161579291,0.34795007510632,7,0.215040006929218,0.212782420349121,-0.46,-0.2394838420709,-0.11204992489368,241.104756194572,232.273293956804,NA,NA,12.1539373094207,0.21,0.39,0.4
2018-05-16,"Aniak",-159.58,61.58,6.59510417307354,0.48,0,0.216327830046578,0.354912983836892,7,0.215551553068886,0.212782420349121,-0.48,-0.263672169953422,-0.125087016163108,240.468640892008,232.057055570193,NA,NA,11.9481761355624,0.21,0.39,0.4
2018-05-17,"Aniak",-159.58,61.58,NA,0.45,NA,NA,NA,NA,NA,0.212782420349121,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.39,0.4
2018-05-18,"Aniak",-159.58,61.58,NA,0.44,NA,NA,NA,NA,NA,0.212782420349121,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.39,0.4
2018-05-19,"Aniak",-159.58,61.58,9.80419715365366,0.43,0,0.205210758204976,0.331719053833284,7,0.225120064017909,0.212782420349121,-0.43,-0.224789241795024,-0.0982809461667156,242.274533338348,233.003338476734,NA,NA,11.0445010164287,0.21,0.39,0.4
2018-05-20,"Aniak",-159.58,61.58,8.58642904638953,0.41,0,0.206833716696219,0.313268153701196,7,0.22554869121778,0.212782420349121,-0.41,-0.203166283303781,-0.096731846298804,240.970390059853,229.173692247828,NA,NA,11.1129749469106,0.21,0.39,0.4
2018-05-21,"Aniak",-159.58,61.58,10.2039011213479,0.4,0,0.210588204148884,0.314623994896007,7,0.225969792944009,0.212782420349121,-0.4,-0.189411795851116,-0.0853760051039929,241.828237870839,229.449858699672,NA,NA,11.416833219801,0.21,0.39,0.4
2018-05-22,"Aniak",-159.58,61.58,10.8713789339699,0.38,0,0.209628125028621,0.325055455492721,7,0.226402781696874,0.212782420349121,-0.38,-0.170371874971379,-0.054944544507279,242.511576313372,232.125410916343,NA,NA,11.3755786409307,0.21,0.39,0.4
2018-05-23,"Aniak",-159.58,61.58,10.7026437634059,0.36,0,0.21926240394558,0.332271336778547,7,0.226837145455763,0.212782420349121,-0.36,-0.14073759605442,-0.0277286632214531,240.988415602586,229.094133989623,NA,NA,11.9505124549768,0.21,0.39,0.4
2018-05-24,"Aniak",-159.58,61.58,10.8511202777247,0.35,0,0.229963284667274,0.35382713877528,7,0.227278749084272,0.212782420349121,-0.35,-0.120036715332726,0.00382713877527968,239.489648233484,227.927111338578,NA,NA,12.5467028631346,0.21,0.39,0.4
2018-05-25,"Aniak",-159.58,61.58,NA,0.38,NA,NA,NA,NA,NA,0.212782420349121,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.39,0.4
2018-05-26,"Aniak",-159.58,61.58,10.3655890810143,0.36,0,0.221215325445919,0.327808618098693,7,0.229429674768393,0.212782420349121,-0.36,-0.138784674554081,-0.0321913819013066,240.573778965772,228.020026267213,NA,NA,12.0502973652272,0.21,0.39,0.4
2018-05-27,"Aniak",-159.58,61.58,8.41814465084849,0.35,0,0.226271060302843,0.343401993307785,7,0.231178958503842,0.212782420349121,-0.35,-0.123728939697157,-0.00659800669221472,238.214922058679,226.841031829037,NA,NA,12.3699816092096,0.21,0.39,0.4
2018-05-28,"Aniak",-159.58,61.58,8.02819469082021,0.34,0,0.219298923764961,0.332244209180312,7,0.232969841875409,0.212782420349121,-0.34,-0.12070107623504,-0.00775579081968847,239.131930717258,227.517580113366,NA,NA,11.9459172048139,0.21,0.39,0.4
2018-05-29,"Aniak",-159.58,61.58,9.57871409184929,0.33,0,0.230322939050057,0.342995115647604,7,0.234800857577615,0.212782420349121,-0.33,-0.0996770609499427,0.0129951156476044,238.969408902574,226.115040983295,NA,NA,12.6984484392068,0.21,0.39,0.4
2018-05-30,"Aniak",-159.58,61.58,9.81326010788553,0.33,0,0.216650677341038,0.329623571473601,7,0.23667349919674,0.212782420349121,-0.33,-0.113349322658962,-0.000376428526399464,241.391520558783,230.312598748587,NA,NA,11.7063444229873,0.21,0.39,0.4
2018-05-31,"Aniak",-159.58,61.58,9.76983237196379,0.33,0,0.212629837696424,0.323054210542463,7,0.238585834015141,0.212782420349121,-0.33,-0.117370162303576,-0.00694578945753715,241.91572071501,231.115280539086,NA,NA,11.4141397852183,0.21,0.39,0.4
2018-06-01,"Aniak",-159.58,61.58,10.7321420327518,0.32,0,0.223865294419516,0.331189659937565,7,0.240539106463975,0.212782420349121,-0.32,-0.0961347055804843,0.0111896599375649,241.316806588554,229.095627275288,NA,NA,12.2056518897721,0.21,0.39,0.4
